Moderate Positive Skew,Highly Positive Skew,Moderate Negative Skew,Highly Negative Skew,Moderate Positive Skew Log,Highly Positive Skew Log,Moderate Negative Skew Log,Highly Negative Skew Log
1.897871691,3.190352531,10.20165264,8.86331845,0.640733096,1.160131422,2.322549731,2.181921237
1.905852592,3.199429723,10.18593061,8.857124237,0.644929463,1.162972582,2.321007416,2.181222134
1.909321716,3.201288425,10.17867527,8.854922682,0.646748056,1.163553362,2.320294872,2.18097354
1.910356072,3.206738934,10.16792767,8.848115017,0.64728965,1.165254512,2.31923842,2.180204444
1.920354823,3.211202581,10.15812225,8.841322477,0.652509973,1.166645503,2.318273607,2.179436467
1.921203213,3.213194898,10.15521217,8.840911077,0.652951663,1.167265737,2.317987088,2.179389934
1.930846593,3.21559155,10.1455061,8.84033972,0.657958556,1.168011338,2.317030859,2.179325306
1.931008412,3.218616773,10.1447799,8.838809545,0.65804236,1.168951694,2.316959278,2.179152201
1.931680176,3.21914408,10.13234925,8.833646719,0.658390182,1.169115511,2.315733202,2.178567921
1.936580164,3.222420994,10.11070762,8.829166649,0.660923615,1.170132939,2.313595023,2.178060633
1.937599035,3.225109901,10.11038365,8.826309999,0.661449596,1.170967027,2.31356298,2.177737034
1.942701304,3.225601971,10.09641062,8.81539537,0.664079429,1.171119591,2.312179977,2.176499667
1.954739673,3.22580163,10.06195863,8.814009132,0.670257025,1.171181487,2.308761841,2.176342402
1.960814542,3.228879188,10.06035741,8.812273842,0.67335997,1.172135076,2.308602692,2.176145504
1.972477434,3.231322675,10.06015256,8.811852991,0.679290333,1.17289155,2.30858233,2.176097746
1.98177952,3.231517703,10.04742573,8.804421365,0.683995189,1.172951904,2.307316455,2.175254023
1.983950963,3.232767362,10.02136682,8.804006368,0.685090292,1.173338539,2.304719496,2.175206887
1.994516098,3.236531124,10.01685972,8.801878848,0.690401464,1.174502116,2.304269645,2.174965204
1.998112136,3.237101503,10.01120916,8.800676583,0.692202803,1.174678332,2.303705381,2.174828603
1.999543572,3.238492005,10.00655715,8.799714118,0.692918941,1.175107791,2.303240593,2.174719234
2.001140063,3.23906242,9.990214773,8.792595086,0.69371705,1.175283911,2.301606091,2.1739099
2.005811634,3.243721329,9.961435333,8.792594288,0.696048784,1.176721229,2.298721171,2.173909809
2.008153192,3.24373679,9.953618416,8.7900484,0.69721549,1.176725995,2.297936145,2.173620218
2.01731129,3.244044791,9.952501824,8.787699197,0.70176558,1.176820943,2.297823959,2.173352925
2.019418208,3.244745025,9.942398744,8.786811993,0.702809454,1.177036772,2.296808314,2.17325196
2.031475876,3.249436778,9.923313714,8.786183323,0.708762561,1.178481682,2.294886909,2.173180411
2.031693006,3.250318969,9.912255652,8.78566793,0.708869439,1.178753136,2.293771936,2.173121749
2.043953025,3.250682706,9.903771441,8.784568222,0.71488569,1.178865038,2.292915638,2.172996571
2.047564851,3.251173761,9.903072036,8.783972164,0.71665121,1.179016088,2.292845016,2.172928716
2.05547823,3.251374222,9.896658769,8.781713486,0.720508536,1.179077745,2.292197202,2.172671546
2.058591902,3.251647511,9.893370753,8.781491293,0.722022206,1.179161794,2.291864912,2.172646244
2.059111265,3.254504577,9.887724682,8.780892083,0.722274465,1.18004006,2.291294057,2.172578006
2.061731376,3.255001979,9.881347179,8.78012871,0.723546104,1.180192884,2.290648857,2.172491067
2.06248297,3.256819636,9.880100554,8.780049603,0.723910582,1.180751147,2.290522689,2.172482057
2.063505687,3.2585268,9.878442671,8.775744311,0.724406326,1.181275191,2.290354875,2.171991588
2.06569733,3.260431149,9.864344774,8.773143441,0.725467859,1.181859441,2.288926718,2.171695173
2.073648922,3.262620131,9.864013166,8.772983409,0.72930982,1.182530594,2.288893101,2.171676932
2.074353885,3.264876003,9.862894553,8.77002613,0.729649724,1.183221784,2.288779691,2.171339786
2.074763554,3.266158191,9.840688188,8.769056575,0.729847197,1.183614429,2.286525646,2.171229226
2.105841694,3.266441969,9.839242259,8.766582598,0.744715242,1.18370131,2.286378702,2.170947061
2.108188588,3.268465341,9.834934609,8.76592095,0.74582909,1.18432056,2.285940803,2.170871584
2.1086631,3.268843045,9.83430758,8.762807035,0.746054145,1.184436113,2.285877046,2.170516291
2.124286372,3.268971401,9.830858229,8.762280955,0.753435921,1.184475379,2.285526237,2.170456254
2.147815017,3.269654482,9.827012863,8.761643134,0.764451054,1.184684316,2.285135008,2.17038346
2.153585764,3.269746584,9.82598228,8.757718349,0.76713425,1.184712485,2.28503013,2.169935409
2.163718132,3.271754424,9.823584118,8.755358928,0.771828099,1.185326362,2.284786037,2.169665962
2.172289973,3.272288928,9.822122893,8.753542258,0.775781898,1.185489718,2.28463728,2.169458448
2.178668936,3.272311747,9.820579256,8.750364725,0.778714111,1.185496691,2.284480108,2.169095382
2.178684279,3.275220384,9.816230673,8.74970582,0.778721153,1.18638516,2.284037207,2.169020079
2.180544822,3.27566907,9.805849688,8.746577415,0.779574764,1.186522144,2.282979115,2.168662471
2.181993755,3.276510807,9.79188338,8.743296306,0.780239025,1.186779078,2.281553816,2.16828727
2.185255193,3.281122687,9.788900936,8.73893712,0.781732615,1.188185646,2.281249186,2.167788571
2.190347536,3.281839209,9.786957387,8.735949716,0.784060223,1.188404,2.28105062,2.167446663
2.192160859,3.284237072,9.785786801,8.735470212,0.784887751,1.189134379,2.280931007,2.167391773
2.197145513,3.287100523,9.784848524,8.732767883,0.787159024,1.190005876,2.28083512,2.167082374
2.197145831,3.287608669,9.783819697,8.731966359,0.787159169,1.190160452,2.28072997,2.166990586
2.197246069,3.288921221,9.774961127,8.731938305,0.787204789,1.190559615,2.279824129,2.166987373
2.201453501,3.289240023,9.762925719,8.726992349,0.789117824,1.190656542,2.278592122,2.166420791
2.216676196,3.28960382,9.756545959,8.718604336,0.796008865,1.190767138,2.27793844,2.165459172
2.221833395,3.290215955,9.754407271,8.717937322,0.798332709,1.190953202,2.277719211,2.165382664
2.225227356,3.291801436,9.752738543,8.713598673,0.799859093,1.191434964,2.277548122,2.164884871
2.226502305,3.291981602,9.75159567,8.711333579,0.800431881,1.191489694,2.27743093,2.164624888
2.226994195,3.292178611,9.748421696,8.711283918,0.800652782,1.191549537,2.277105395,2.164619187
2.230579042,3.293319562,9.741733667,8.707253183,0.802261212,1.191896042,2.276419096,2.164156378
2.232652854,3.29507894,9.729706544,8.706136753,0.803190499,1.192430125,2.275183736,2.164028151
2.233863695,3.295520137,9.726014071,8.704647009,0.803732685,1.192564012,2.274804159,2.163857022
2.238221286,3.298378649,9.722143362,8.697957909,0.805681482,1.193431029,2.274406105,2.163088275
2.241466245,3.302371533,9.719688512,8.696108356,0.807130225,1.194640857,2.274153572,2.16287561
2.242038364,3.30474453,9.717077146,8.695780108,0.807385436,1.195359172,2.273884868,2.162837863
2.245485065,3.305106188,9.714418015,8.695452454,0.808921562,1.195468602,2.273611175,2.162800183
2.247777676,3.306876178,9.711637115,8.693535442,0.809942029,1.196003991,2.273324869,2.162579697
2.248728688,3.311495106,9.709757159,8.693443495,0.810365029,1.197399781,2.273131273,2.16256912
2.251951523,3.313969722,9.701863412,8.691983664,0.811797184,1.198146783,2.272317971,2.162401183
2.256049679,3.318007968,9.692706946,8.687338712,0.813615354,1.199364593,2.271373741,2.161866645
2.256061761,3.31805373,9.690943176,8.681957476,0.81362071,1.199378385,2.271191756,2.161247019
2.257667844,3.318395228,9.687587215,8.681532216,0.814332353,1.199481301,2.270845397,2.161198036
2.260946314,3.319182485,9.684066002,8.680965069,0.815783449,1.199718513,2.270481855,2.161132706
2.261807644,3.322950563,9.683575915,8.678352498,0.816164336,1.200853112,2.270431246,2.160831706
2.264797201,3.328430187,9.681718259,8.677841186,0.817485219,1.202500778,2.270239392,2.160772786
2.266458728,3.329300582,9.679818605,8.675368812,0.818218582,1.202762246,2.270043162,2.160487839
2.269653108,3.330188057,9.679105714,8.675235995,0.819627004,1.203028776,2.269969512,2.160472529
2.272130066,3.330530844,9.675067083,8.67479367,0.820717747,1.203131704,2.269552173,2.160421541
2.275585492,3.331116329,9.67303096,8.674396214,0.822237378,1.203307482,2.2693417,2.160375723
2.277237412,3.331912728,9.672738128,8.673691202,0.822963047,1.203546532,2.269311426,2.160294444
2.280580015,3.333482725,9.672215545,8.672524777,0.824429803,1.204017621,2.269257399,2.160159957
2.28120423,3.333718497,9.66666841,8.671823909,0.824703475,1.204088347,2.268683722,2.160079139
2.281690863,3.3357645,9.665674045,8.671512922,0.824916775,1.204701888,2.268580851,2.160043276
2.282866161,3.336812651,9.665106748,8.668322252,0.825431742,1.205016055,2.268522157,2.15967526
2.284382137,3.336882637,9.662984005,8.665571351,0.826095588,1.205037029,2.268302504,2.159357859
2.285476945,3.337352808,9.662010957,8.665146893,0.826574731,1.20517792,2.2682018,2.159308875
2.286116197,3.337835802,9.657782514,8.662314184,0.826854394,1.205322633,2.267764068,2.158981914
2.290473104,3.341219544,9.656630843,8.658478645,0.828758392,1.206335873,2.267644813,2.158539031
2.297179653,3.34580955,9.656099844,8.657803351,0.831682133,1.207708682,2.267589824,2.158461036
2.298523902,3.347447344,9.65604723,8.655970182,0.832267135,1.208198069,2.267584375,2.158249277
2.310235224,3.353536516,9.65569911,8.654371336,0.837349348,1.210015465,2.267548322,2.15806455
2.311203912,3.355508088,9.652426082,8.652380565,0.837768563,1.210603201,2.267209291,2.157834493
2.315844241,3.35630776,9.650413884,8.65209836,0.839774304,1.210841489,2.267000804,2.157801876
2.316378762,3.356597196,9.647620986,8.65129425,0.840005088,1.210927722,2.266711355,2.157708934
2.317537521,3.357581764,9.64522278,8.648170805,0.840505209,1.211221002,2.266462744,2.157347831
2.319117395,3.359132792,9.640681532,8.646633164,0.84118668,1.211682843,2.265991804,2.157170016
2.320070278,3.362146082,9.633205755,8.64572629,0.841597477,1.212579485,2.265216063,2.157065128
2.323846066,3.362266548,9.632844645,8.64316119,0.8432236,1.212615314,2.265178576,2.156768394
2.32764146,3.363233829,9.627418677,8.640601685,0.844855506,1.21290296,2.26461514,2.15647222
2.345827633,3.365585385,9.627083001,8.639911681,0.852638275,1.213601911,2.264580272,2.156392361
2.352352207,3.36600591,9.62156906,8.63608552,0.855415767,1.213726852,2.264007355,2.155949415
2.353610815,3.371168669,9.612201158,8.635787213,0.855950666,1.21525947,2.263033245,2.155914873
2.360290888,3.374056199,9.610391444,8.635432894,0.858784869,1.21611564,2.262844955,2.155873843
2.361043656,3.374109886,9.602353129,8.634015159,0.859103748,1.216131552,2.262008186,2.155709653
2.366692831,3.374623888,9.600521996,8.632511517,0.861493551,1.216283878,2.261817472,2.155535484
2.36807833,3.377432762,9.598393506,8.632316625,0.862078795,1.217115883,2.261595741,2.155512908
2.370292137,3.377591214,9.592125601,8.630998924,0.863013212,1.217162797,2.260942512,2.155360249
2.37168653,3.378679575,9.584533763,8.628943902,0.863601318,1.217484975,2.260150733,2.155122122
2.372011682,3.378927804,9.583540755,8.627655228,0.863738406,1.217558441,2.260047122,2.154972768
2.373685559,3.37951261,9.58128657,8.626870251,0.864443835,1.217731501,2.25981188,2.15488178
2.373833821,3.380180939,9.578435847,8.626666857,0.864506294,1.21792924,2.259514306,2.154858203
2.375818167,3.383989656,9.578304469,8.625731745,0.86534187,1.219055385,2.25950059,2.154749799
2.382094306,3.384886386,9.573412875,8.62457141,0.867980061,1.219320342,2.258989764,2.15461527
2.384940629,3.385387437,9.571784719,8.624219343,0.869174231,1.219468357,2.258819679,2.154574448
2.388538173,3.386345127,9.570415282,8.622359113,0.870681536,1.219751206,2.258676599,2.154358726
2.392662406,3.386944634,9.567349923,8.617004763,0.872406723,1.219928227,2.258356252,2.153737549
2.401662342,3.389034505,9.564529244,8.616770393,0.87616114,1.220545074,2.258061385,2.15371035
2.402387425,3.3892846,9.560797783,8.616259879,0.876463003,1.220618867,2.257671174,2.153651102
2.402486571,3.389752173,9.55603418,8.615859577,0.876504272,1.220756813,2.257172806,2.153604642
2.407285166,3.389869667,9.545148038,8.613714298,0.878499625,1.220791474,2.256032967,2.153355619
2.407904047,3.392235685,9.543943158,8.61256402,0.878756679,1.221489198,2.255906729,2.15322207
2.409863276,3.392266756,9.543822262,8.609878231,0.879570014,1.221498358,2.255894062,2.152910176
2.410973547,3.39649624,9.540656691,8.609470336,0.880030627,1.222744383,2.255562319,2.152862799
2.415398796,3.397160736,9.536337556,8.609149626,0.881864406,1.222940005,2.255109508,2.152825548
2.423629404,3.397642108,9.532627594,8.605441383,0.88526617,1.223081693,2.254720398,2.152394722
2.428144208,3.398505877,9.531082224,8.604753954,0.887127265,1.223335887,2.254558271,2.152314836
2.430997621,3.399392594,9.529174089,8.602861201,0.888301717,1.223596767,2.25435805,2.152094846
2.435258428,3.400619,9.526745926,8.602737097,0.890052881,1.223957474,2.254103204,2.15208042
2.437774424,3.400766383,9.523580001,8.599638655,0.891085502,1.224000813,2.253770829,2.151720186
2.445983354,3.402374186,9.517153136,8.599577241,0.894447232,1.224473478,2.253095764,2.151713044
2.448031601,3.403701791,9.517137741,8.598963538,0.895284273,1.224863601,2.253094146,2.151641677
2.450800514,3.404306452,9.512340074,8.598679492,0.896414712,1.225041234,2.252589911,2.151608644
2.452723683,3.405543946,9.506583995,8.595287088,0.897199114,1.225404676,2.251984611,2.15121404
2.453260445,3.406765352,9.505083738,8.594957404,0.897417934,1.225763264,2.251826786,2.151175683
2.454969707,3.406953701,9.497303202,8.593366003,0.898114422,1.225818549,2.251007885,2.150990511
2.455473517,3.407994902,9.497020674,8.593209337,0.898319621,1.226124113,2.250978136,2.150972279
2.462425187,3.408604627,9.496735739,8.592842608,0.901146713,1.226303007,2.250948133,2.150929602
2.470628131,3.408671268,9.496148092,8.591473089,0.904472422,1.226322558,2.250886252,2.15077021
2.476623421,3.410962823,9.494854833,8.591086608,0.906896109,1.226994604,2.250750055,2.150725225
2.479905369,3.412241106,9.492976072,8.590845615,0.908220402,1.227369291,2.250552164,2.150697173
2.480370975,3.41386409,9.480831761,8.589427495,0.908408136,1.227844814,2.249272051,2.150532086
2.484217309,3.414997902,9.471021368,8.58812402,0.909957644,1.228176879,2.248236754,2.150380321
2.488034073,3.417128815,9.464620593,8.588098089,0.91149287,1.228800671,2.247560699,2.150377302
2.494960169,3.41721898,9.46416593,8.588079386,0.914272765,1.228827057,2.247512659,2.150375124
2.495254775,3.417551149,9.462988532,8.585750094,0.914390838,1.228924256,2.247388246,2.150103863
2.498252841,3.418454828,9.462256455,8.584247866,0.915591624,1.229188644,2.247310881,2.14992888
2.498738106,3.42045924,9.459559045,8.579124894,0.915785847,1.229774823,2.247025769,2.149331915
2.499425933,3.421457154,9.459031113,8.57864687,0.916061079,1.230066529,2.246969958,2.149276194
2.504521937,3.422962817,9.458564298,8.576931367,0.918097873,1.230506497,2.246920606,2.1490762
2.50564536,3.425248729,9.448692181,8.576108276,0.91854633,1.231174091,2.245876338,2.14898023
2.5089358,3.42723576,9.447983013,8.574683832,0.919858679,1.231754035,2.245801281,2.148814121
2.509890285,3.428048032,9.446721053,8.572276722,0.920239041,1.231991012,2.245667703,2.148533359
2.512880297,3.435427427,9.445775243,8.570647253,0.921429624,1.234141351,2.245567577,2.148343255
2.514609361,3.435669719,9.443818489,8.570448112,0.922117468,1.234211876,2.245360399,2.14832002
2.517635677,3.436349833,9.44310833,8.568909711,0.923320238,1.234409813,2.245285198,2.148140503
2.521882807,3.438056681,9.440450751,8.568363742,0.925005768,1.234906393,2.245003728,2.148076786
2.525201269,3.438182272,9.438899919,8.567165676,0.92632077,1.234942922,2.244839439,2.147936952
2.527375048,3.439145612,9.436801432,8.566405376,0.927181234,1.235223072,2.244617091,2.147848202
2.530315924,3.439423729,9.433287136,8.566159407,0.928344166,1.235303937,2.244244619,2.147819488
2.537502958,3.441689936,9.431989047,8.565051739,0.93118051,1.235962611,2.244107002,2.147690173
2.539132794,3.443055274,9.431581032,8.565045642,0.931822603,1.236359238,2.244063742,2.147689461
2.53970285,3.444003873,9.431539255,8.564920812,0.932047086,1.236634711,2.244059313,2.147674886
2.541881487,3.446770816,9.429364011,8.563918253,0.93290455,1.237437797,2.243828651,2.147557825
2.542019625,3.447578874,9.429030205,8.562141912,0.932958893,1.237672209,2.24379325,2.147350382
2.543584939,3.447719026,9.423753132,8.560659232,0.933574479,1.237712861,2.243233431,2.1471772
2.543626739,3.450710303,9.423370298,8.558769663,0.933590913,1.238580095,2.243192806,2.146956449
2.544059896,3.451127276,9.421415881,8.558737259,0.933761189,1.238700924,2.242985383,2.146952663
2.545052805,3.455800137,9.415543007,8.55752832,0.934151398,1.240054019,2.242361835,2.146811401
2.546363556,3.456036509,9.415354574,8.556969108,0.934666285,1.240122415,2.242341822,2.146746051
2.547111998,3.456274616,9.414623018,8.556122152,0.934960168,1.240191308,2.242264121,2.146647068
2.549347016,3.456465695,9.413726139,8.552543933,0.935837254,1.240246592,2.242168852,2.146228775
2.5512527,3.457222423,9.410996783,8.55065394,0.936584493,1.240465499,2.241878876,2.146007764
2.553876917,3.460527293,9.410334785,8.549227388,0.937612564,1.241420974,2.241808531,2.145840915
2.560821425,3.460794934,9.409982946,8.549132034,0.940328076,1.241498312,2.241771141,2.145829761
2.56173251,3.461006392,9.406871167,8.548579611,0.940683791,1.241559412,2.241440397,2.145765142
2.566289433,3.46147129,9.405402022,8.548479328,0.942461055,1.241693727,2.241284207,2.145753411
2.567039907,3.463981125,9.404299328,8.547399555,0.942753448,1.242418542,2.24116696,2.145627091
2.569102232,3.464307438,9.400858999,8.546956003,0.943556512,1.242512739,2.240801068,2.145575197
2.570326148,3.465759233,9.399864953,8.546876802,0.944032797,1.242931724,2.240695322,2.14556593
2.571292399,3.468136152,9.393557589,8.545495185,0.944408651,1.243617318,2.240024091,2.145404265
2.574626016,3.468450753,9.391067266,8.543682194,0.945704287,1.243708025,2.239758947,2.145192085
2.583523147,3.468711457,9.38990807,8.542121859,0.949154028,1.243783187,2.239635503,2.145009438
2.589318697,3.469355076,9.382699641,8.541854998,0.95139479,1.24396872,2.23886753,2.144978197
2.590803348,3.469795631,9.382481133,8.541019998,0.951968001,1.244095696,2.238844241,2.144880438
2.594787111,3.470798767,9.381149516,8.539255785,0.953504475,1.24438476,2.238702305,2.144673859
2.598308255,3.470900014,9.380622118,8.532817615,0.954860562,1.24441393,2.238646085,2.143919625
2.598930063,3.471919373,9.378291307,8.530588557,0.955099846,1.244707574,2.238397583,2.143658358
2.599251897,3.474181951,9.377554274,8.530333109,0.955223672,1.245359042,2.238318991,2.143628412
2.599580595,3.474349135,9.37449197,8.52832508,0.955350122,1.245407162,2.237992381,2.143392986
2.605490394,3.475049724,9.374273495,8.52453705,0.957620909,1.245608788,2.237969075,2.142948717
2.605805529,3.47556143,9.374033706,8.522893534,0.957741852,1.245756029,2.237943495,2.1427559
2.614004533,3.477483165,9.373282996,8.521127442,0.960883349,1.246308804,2.237863408,2.142548661
2.615454487,3.478072548,9.372045793,8.521095367,0.961437882,1.246478275,2.237731407,2.142544897
2.619480646,3.478555302,9.37087771,8.520551043,0.962976071,1.246617064,2.237606764,2.142481015
2.62104756,3.479463231,9.370705681,8.520385368,0.96357407,1.246878038,2.237588406,2.142461571
2.621851556,3.479577522,9.366887967,8.51885477,0.963880769,1.246910885,2.237180914,2.142281915
2.622290864,3.481504495,9.366048537,8.518568462,0.964048311,1.247464527,2.237091293,2.142248306
2.622530506,3.48178724,9.356187828,8.51780212,0.964139694,1.247545737,2.236037924,2.14215834
2.623765182,3.484996786,9.352441431,8.516647547,0.964610379,1.248467122,2.235637425,2.142022783
2.625144784,3.487112629,9.351056763,8.516495978,0.96513605,1.249074067,2.23548936,2.142004986
2.627012478,3.490046014,9.349791583,8.515981673,0.965847261,1.249914921,2.235354052,2.141944595
2.629446211,3.493608583,9.348929973,8.515501395,0.966773258,1.25093518,2.235261895,2.141888196
2.629522633,3.495382883,9.346250801,8.514490252,0.966802321,1.251442921,2.234975279,2.141769448
2.631756667,3.496281564,9.344744156,8.512431368,0.967651557,1.251699993,2.234814063,2.141527609
2.632531814,3.497871595,9.342926261,8.511229289,0.96794605,1.252154668,2.234619507,2.141386384
2.642638016,3.498167677,9.340609338,8.510239582,0.971777667,1.252239311,2.23437149,2.141270095
2.644929736,3.498454535,9.33918726,8.51016787,0.9726445,1.25232131,2.234219231,2.141261669
2.647119286,3.500069963,9.336662889,8.509617145,0.973471987,1.252782958,2.233948896,2.141196953
2.648122868,3.500420822,9.33469372,8.509336656,0.973851037,1.252883196,2.233737967,2.141163991
2.653970234,3.500849497,9.332145258,8.509275274,0.97605672,1.253005652,2.23346492,2.141156777
2.656654018,3.501250074,9.331634569,8.50893873,0.977067443,1.253120069,2.233410194,2.141117226
2.659451608,3.503261512,9.331203968,8.508914774,0.978119939,1.253694395,2.233364049,2.141114411
2.660887427,3.503535016,9.327504184,8.506861243,0.978659686,1.253772463,2.232967475,2.140873043
2.664428184,3.503926658,9.325890707,8.50606992,0.979989469,1.253884242,2.232794479,2.140780017
2.670418531,3.505266585,9.323719021,8.503358746,0.982235213,1.254266576,2.232561586,2.140461232
2.671377537,3.506685086,9.32359585,8.502366065,0.982594271,1.254671171,2.232548375,2.140344485
2.672871831,3.507766794,9.322861512,8.502225583,0.983153487,1.254979594,2.232469611,2.140327963
2.67643464,3.509076922,9.317284873,8.500806507,0.984485551,1.255353018,2.231871264,2.140161042
2.677216561,3.509867653,9.316811124,8.499595307,0.984777658,1.255578331,2.231820416,2.140018551
2.683890766,3.51024968,9.315756749,8.498785495,0.98726752,1.255687169,2.231707241,2.13992327
2.684089481,3.510571041,9.314872704,8.498058842,0.987341557,1.255778714,2.231612338,2.139837766
2.685407986,3.510581624,9.314596347,8.497637628,0.987832667,1.255781729,2.231582669,2.139788199
2.685737354,3.510603002,9.313610663,8.497247084,0.98795531,1.255787818,2.231476842,2.139742239
2.685856933,3.510713274,9.308701053,8.494110405,0.987999833,1.255819229,2.23094956,2.13937303
2.687729656,3.511175789,9.303521529,8.493095476,0.988696843,1.255950964,2.230392988,2.139253536
2.687842205,3.512820267,9.302171354,8.492799071,0.988738717,1.25641921,2.230247852,2.139218636
2.695139286,3.514562069,9.30092832,8.491791135,0.991449886,1.256914928,2.230114215,2.139099948
2.697638361,3.514686939,9.299534146,8.491431183,0.992376709,1.256950457,2.229964307,2.139057559
2.697912204,3.514732252,9.297765807,8.489684987,0.992478216,1.256963349,2.229774135,2.138851896
2.701628758,3.515205442,9.294460099,8.489645239,0.993854835,1.257097971,2.229418534,2.138847214
2.705134384,3.515994346,9.294388231,8.488346553,0.995151591,1.257322372,2.229410802,2.138694229
2.706784554,3.517233885,9.29328132,8.485682016,0.995761419,1.257674853,2.2292917,2.138380274
2.71136688,3.518015989,9.293242068,8.484934458,0.997452891,1.257897191,2.229287477,2.138292174
2.71569106,3.518996893,9.286679925,8.484337549,0.999046455,1.258175975,2.228581107,2.138221822
2.71688697,3.520030269,9.279493936,8.484082151,0.999486729,1.258469589,2.227807013,2.13819172
2.718922347,3.521561826,9.279247891,8.483906898,1.000235606,1.258904592,2.227780497,2.138171063
2.719959014,3.522298497,9.275911303,8.483719423,1.000616812,1.259113759,2.227420857,2.138148965
2.725024097,3.524156074,9.275206279,8.4806884,1.002477271,1.259640996,2.227344849,2.137791626
2.731127934,3.524309637,9.274038839,8.477979006,1.004714687,1.259684569,2.227218974,2.137472097
2.731936985,3.524913755,9.272742647,8.476665655,1.005010876,1.259855969,2.227079198,2.137317171
2.740283845,3.525128768,9.271736613,8.476527246,1.008061508,1.259916966,2.226970699,2.137300843
2.741799302,3.526238702,9.26944178,8.47606792,1.008614384,1.260231779,2.22672316,2.137246654
2.742716838,3.527269896,9.269378229,8.474955567,1.008948976,1.260524171,2.226716304,2.13711541
2.745108324,3.527348387,9.269072581,8.473884199,1.009820536,1.260546424,2.226683329,2.136988987
